_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,waived,within_cap
10963650,Semin Cancer Biol,Elsevier,6060.0,4,240.0,False,False
13697021,Mater Today (Kidlington),Elsevier,6070.0,1,70.0,False,False
15229645,Eur Heart J,Oxford University Press (OUP),6130.8,12,1569.6000000000022,False,False
15292401,J Neurosci,Society for Neuroscience,6270.0,56,15120.0,False,False
23523964,EBioMedicine,Elsevier,6360.0,17,6120.0,False,False
15491676,PLoS Med,Public Library of Science (PLoS),6460.0,6,2760.0,False,False
15280020,Blood,American Society of Hematology,6600.0,17,10200.0,False,False
2666979X,Cell Genom,Elsevier,6675.0,8,5400.0,False,False
2214109X,Lancet Glob Health,Elsevier,6680.0,2,1360.0,False,False
23524650,Lancet Child Adolesc Health,Elsevier,6680.0,2,1360.0,False,False
24682667,Lancet Public Health,Elsevier,6680.0,2,1360.0,False,False
25425196,Lancet Planet Health,Elsevier,6680.0,2,1360.0,False,False
25897500,Lancet Digit Health,Elsevier,6680.0,2,1360.0,False,False
26667568,Lancet Healthy Longev,Elsevier,6680.0,2,1360.0,False,False
18731635,Prog Retin Eye Res,Elsevier,6710.0,3,2130.0,False,False
20411723,Nat Commun,Springer Nature,6990.0,248,245520.0,False,False
15388514,Mol Cancer Ther,American Association for Cancer Research (AACR),7000.0,15,15000.0,False,False
15573125,Mol Cancer Res,American Association for Cancer Research (AACR),7000.0,7,7000.0,False,False
18790445,Curr Biol,Elsevier,7030.0,36,37080.0,False,False
24058025,Trends Cancer,Elsevier,7030.0,7,7210.0,False,False
01689525,Trends Genet,Elsevier,7030.0,6,6180.0,False,False
14714981,Trends Immunol,Elsevier,7030.0,6,6180.0,False,False
1878108X,Trends Neurosci,Elsevier,7030.0,6,6180.0,False,False
1879307X,Trends Cogn Sci,Elsevier,7030.0,6,6180.0,False,False
18793088,Trends Cell Biol,Elsevier,7030.0,6,6180.0,False,False
18733735,Trends Pharmacol Sci,Elsevier,7030.0,5,5150.0,False,False
18793061,Trends Endocrinol Metab,Elsevier,7030.0,3,3090.0,False,False
09680004,Trends Biochem Sci,Elsevier,7030.0,2,2060.0,False,False
1471499X,Trends Mol Med,Elsevier,7030.0,2,2060.0,False,False
14715007,Trends Parasitol,Elsevier,7030.0,2,2060.0,False,False
18784380,Trends Microbiol,Elsevier,7030.0,2,2060.0,False,False
18793096,Trends Biotechnol,Elsevier,7030.0,1,1030.0,False,False
15583597,J Am Coll Cardiol,Elsevier,7166.0,27,31482.0,False,False
14744465,Lancet Neurol,Elsevier,7280.0,7,8960.0,False,False
22132619,Lancet Respir Med,Elsevier,7280.0,7,8960.0,False,False
14745488,Lancet Oncol,Elsevier,7280.0,5,6400.0,False,False
23523018,Lancet HIV,Elsevier,7280.0,4,5120.0,False,False
14744457,Lancet Infect Dis,Elsevier,7280.0,2,2560.0,False,False
22138595,Lancet Diabetes Endocrinol,Elsevier,7280.0,2,2560.0,False,False
23523026,Lancet Haematol,Elsevier,7280.0,2,2560.0,False,False
26659913,Lancet Rheumatol,Elsevier,7280.0,2,2560.0,False,False
22150374,Lancet Psychiatry,Elsevier,7280.0,1,1280.0,False,False
26665247,Lancet Microbe,Elsevier,7280.0,1,1280.0,False,False
17561833,BMJ,BMJ,7525.0,5,7625.0,False,False
1474547X,Lancet,Elsevier,7890.0,9,17010.0,False,False
14602075,EMBO J,Springer Nature,7990.0,6,11940.0,False,False
14693178,EMBO Rep,Springer Nature,7990.0,5,9950.0,False,False
17574684,EMBO Mol Med,Springer Nature,7990.0,3,5970.0,False,False
17444292,Mol Syst Biol,Springer Nature,7990.0,1,1990.0,False,False
15573265,Clin Cancer Res,American Association for Cancer Research (AACR),8000.0,39,78000.0,False,False
15387445,Cancer Res,American Association for Cancer Research (AACR),8000.0,27,54000.0,False,False
23266074,Cancer Immunol Res,American Association for Cancer Research (AACR),8000.0,3,6000.0,False,False
10780432,Clin Cancer Res,American Association for Cancer Research (AACR),8000.0,2,4000.0,False,False
26433249,Blood Cancer Discov,American Association for Cancer Research (AACR),8000.0,1,2000.0,False,False
26671093,Chem Catal,Elsevier,9170.0,1,3170.0,False,False
24519448,Cell Chem Biol,Elsevier,9350.0,13,43550.0,False,False
18784186,Structure,Elsevier,9350.0,9,30150.0,False,False
24054720,Cell Syst,Elsevier,9350.0,5,16750.0,False,False
24519294,Chem,Elsevier,9350.0,4,13400.0,False,False
25902385,Matter,Elsevier,9350.0,1,3350.0,False,False
10974199,Neuron,Elsevier,10400.0,36,158400.0,False,False
10974164,Mol Cell,Elsevier,10400.0,33,145200.0,False,False
19327420,Cell Metab,Elsevier,10400.0,15,66000.0,False,False
10974180,Immunity,Elsevier,10400.0,12,52800.0,False,False
18759777,Cell Stem Cell,Elsevier,10400.0,8,35200.0,False,False
18781551,Dev Cell,Elsevier,10400.0,7,30800.0,False,False
18783686,Cancer Cell,Elsevier,10400.0,3,13200.0,False,False
19346069,Cell Host Microbe,Elsevier,10400.0,1,4400.0,False,False
21598290,Cancer Discov,American Association for Cancer Research (AACR),11000.0,12,60000.0,False,False
10974172,Cell,Elsevier,11400.0,20,108000.0,False,False
14764687,Nature,Springer Nature,12690.0,58,388020.0,False,False
15461718,Nat Genet,Springer Nature,12690.0,31,207390.0,False,False
15461726,Nat Neurosci,Springer Nature,12690.0,29,194010.0,False,False
1546170X,Nat Med,Springer Nature,12690.0,26,173940.0,False,False
15487105,Nat Methods,Springer Nature,12690.0,17,113730.0,False,False
15292916,Nat Immunol,Springer Nature,12690.0,16,107040.0,False,False
15524469,Nat Chem Biol,Springer Nature,12690.0,15,100350.0,False,False
2157846X,Nat Biomed Eng,Springer Nature,12690.0,12,80280.0,False,False
14764679,Nat Cell Biol,Springer Nature,12690.0,11,73590.0,False,False
25225812,Nat Metab,Springer Nature,12690.0,11,73590.0,False,False
15461696,Nat Biotechnol,Springer Nature,12690.0,10,66900.0,False,False
26628465,Nat Aging,Springer Nature,12690.0,8,53520.0,False,False
26621347,Nat Cancer,Springer Nature,12690.0,7,46830.0,False,False
27310590,Nat Cardiovasc Res,Springer Nature,12690.0,6,40140.0,False,False
20585276,Nat Microbiol,Springer Nature,12690.0,5,33450.0,False,False
15459985,Nat Struct Mol Biol,Springer Nature,12690.0,4,26760.0,False,False
17554349,Nat Chem,Springer Nature,12690.0,3,20070.0,False,False
17483395,Nat Nanotechnol,Springer Nature,12690.0,2,13380.0,False,False
2397334X,Nat Ecol Evol,Springer Nature,12690.0,2,13380.0,False,False
26628457,Nat Comput Sci,Springer Nature,12690.0,2,13380.0,False,False
27316076,Nat Ment Health,Springer Nature,12690.0,2,13380.0,False,False
14761122,Nat Mater,Springer Nature,12690.0,1,6690.0,False,False
14764660,Nat Mater,Springer Nature,12690.0,1,6690.0,False,False
23973374,Nat Hum Behav,Springer Nature,12690.0,1,6690.0,False,False
25201158,Nat Catal,Springer Nature,12690.0,1,6690.0,False,False
