_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers,waived_papers
Elsevier,2738,428,12568958.0,0,2738,0
Springer Nature,1896,256,7769939.0,661,1235,661
Wolters Kluwer,940,73,3978295.0,100,840,100
Oxford University Press (OUP),728,85,3262038.28,1,727,0
American Chemical Society (ACS),310,42,1339305.0,10,300,0
MDPI,350,42,1187625.0,0,350,0
Frontiers,290,36,1117085.5,0,290,0
American Medical Association (AMA),209,11,1030000.0,0,209,0
American Association for Cancer Research (AACR),125,11,944750.0,0,125,0
Proceedings of the National Academy of Sciences,157,1,941215.0,0,157,0
American Society for Clinical Investigation,174,2,939800.0,0,174,0
SAGE Publications,234,56,871500.0,3,231,0
Public Library of Science (PLoS),254,10,720478.0,0,254,0
Taylor & Francis,166,58,647329.0,0,166,0
American Association for the Advancement of Science (AAAS),95,1,517750.0,0,95,0
Society for Neuroscience,81,2,443370.0,0,81,0
American Psychological Association (APA),143,25,429000.0,0,143,0
BMJ,110,21,426359.5,0,110,0
American Society for Microbiology,126,11,381420.0,0,126,0
JMIR Publications,135,12,352410.0,0,135,0
Mary Ann Liebert,85,16,300900.0,0,85,0
eLife,99,1,297000.0,0,99,0
Thieme,80,4,276000.0,0,80,0
Rockefeller University Press,46,3,252000.0,0,46,0
The Company of Biologists,49,5,238600.0,0,49,0
American Society of Hematology,38,2,209535.0,0,38,0
American Society of Clinical Oncology (ASCO),44,5,208432.0,0,44,0
Cambridge University Press (CUP),54,6,184350.0,0,54,0
The Endocrine Society,43,3,166214.0,0,43,0
American Thoracic Society,73,3,146000.0,0,73,0
American Academy of Pediatrics (AAP),30,2,135000.0,0,30,0
Cold Spring Harbor Laboratory,30,4,134580.0,0,30,0
IOP Publishing,33,5,109370.0,0,33,0
American Diabetes Association,40,2,100000.0,0,40,0
Royal Society of Chemistry (RSC),32,15,95845.0,7,25,0
American Speech Language Hearing Association,47,2,94000.0,0,47,0
American Society for Cell Biology (ASCB),23,1,91885.0,0,23,0
Institute of Electrical and Electronics Engineers (IEEE),32,7,78370.0,0,32,0
Radiological Society of North America (RSNA),22,4,77000.0,0,22,0
Association for Research in Vision and Ophthalmology (ARVO),30,2,56800.0,0,30,0
American Academy of Sleep Medicine (AASM),17,1,51000.0,0,17,0
Wiley,1390,205,48990.0,1377,13,1377
Impact Journals,14,2,48700.0,0,14,0
The Journal of Rheumatology,11,2,44000.0,0,11,0
Life Science Alliance,10,1,39750.0,0,10,0
Optica Publishing Group,16,5,37165.0,0,16,0
American Physiological Society,75,10,35820.0,39,36,0
MIT Press,20,4,32500.0,0,20,0
Ivyspring International Publisher,9,2,29873.0,0,9,0
Acoustical Society of America (ASA),13,2,29200.0,0,13,0
Journal of Neurosurgery Publishing Group (JNSPG),8,1,24000.0,0,8,0
Karger Publishers,9,4,23700.0,3,6,0
MyJove,13,1,23400.0,0,13,0
American Public Health Association,9,1,22500.0,0,9,0
European Respiratory Society (ERS),7,2,21097.0,0,7,0
AIP Publishing,5,2,17950.0,0,5,0
American Physical Society (APS),5,2,16480.0,0,5,0
Bioscientifica,4,1,16252.0,0,4,0
American Society of Neuroradiology (ASNR),6,1,15000.0,0,6,0
Ferrata Storti Foundation (Haematologica),4,1,14296.0,0,4,0
"SPIE, the international society for optics and photonics",8,2,13400.0,0,8,0
American Society of Tropical Medicine and Hygiene,4,1,12000.0,0,4,0
AME Publishing Company,7,2,11470.0,0,7,0
The Royal Society,4,3,11180.0,0,4,0
International Society of Global Health,3,1,10905.0,0,3,0
Bio-Protocol,8,1,9600.0,0,8,0
Health Affairs,2,1,7700.0,0,2,0
ASME International,2,1,6000.0,0,2,0
Ubiquity Press,3,1,5700.0,0,3,0
Alcohol Research Documentation,4,1,5100.0,0,4,0
COPD Foundation,2,1,4900.0,0,2,0
International Union Against Tuberculosis and Lung Disease,1,1,4426.0,0,1,0
Radiation Research Society,2,1,4000.0,0,2,0
Association for Computing Machinery (ACM),7,1,2450.0,0,7,0
Caltech Library,6,1,2100.0,0,6,0
PeerJ,1,1,1995.0,0,1,0
American Psychiatric Association Publishing,2,1,0.0,2,0,2
American Board of Family Medicine (ABFM),4,1,0.0,4,0,0
International Union of Crystallography (IUCr),6,2,0.0,6,0,6
"Clinical Care Targeted Communications Group, LLC",2,1,0.0,2,0,0
Environmental Health Perspectives,6,1,0.0,6,0,0
Centers for Disease Control and Prevention (CDC),4,2,0.0,4,0,0
Annual Reviews,3,1,0.0,3,0,0
Annals of Family Medicine,2,1,0.0,2,0,0
Portland Press,10,3,0.0,10,0,0
Unknown,272,164,0.0,272,0,272
