Pub Year,_journal_label,_publisher,_issn_norm,PMID,Authors,_waived_by_issn,_waived_by_title,apc_original,apc_effective,would_uncovered_if_no_waiver_cap_0,would_uncovered_if_no_waiver_cap_2000,would_uncovered_if_no_waiver_cap_3000,would_uncovered_if_no_waiver_cap_6000,avoided_usd_known
2025,J Cancer Surviv,Springer Nature,19322267,37632652,"Keimweiss, Samuel; Gurolnick, Anna; Grant, Shakira; Burris, Jessica; Studts, Jamie; Lewis-Thames, Marquita",True,False,4790.0,0.0,4790.0,2790.0,1790.0,0.0,4790.0
2025,Pediatr Cardiol,Springer Nature,14321971,38907869,"Woo, Joyce L; Gandhi, Rupali; Burton, Shelvonne; Sivakumar, Adithya; Spiewak, Sarah; Wakulski, Renee; Grobman, William A; Davis, Matthew M; Patel, Angira; Johnson, Joyce T; Samples, Stefani; Yee, Lynn M",True,False,3790.0,0.0,3790.0,1790.0,790.0,0.0,3790.0
2025,Alcohol Clin Exp Res (Hoboken),Wiley,29937175,39887657,"Dyar, Christina; Curtis, Julia; Fairlie, Anne M",True,False,3910.0,0.0,3910.0,1910.0,910.0,0.0,3910.0
2025,J Sleep Res,Wiley,13652869,39909478,"Crosley-Lyons, Rachel; Li, Jixin; Wang, Wei-Lin; Wang, Shirlene D; Huh, Jimi; Bae, Dayoung; Intille, Stephen S; Dunton, Genevieve F",True,False,4340.0,0.0,4340.0,2340.0,1340.0,0.0,4340.0
2025,Xenotransplantation,Wiley,13993089,39912498,"Gordon, Elisa J; Maschke, Karen J; Gacki-Smith, Jessica; Brooks, Hannah L; Matthews, Margaret M; Traboulsi, Karen; Manning, Dahlya; Leventhal, Joseph; Gusmano, Michael K",True,False,4550.0,0.0,4550.0,2550.0,1550.0,0.0,4550.0
2025,Glia,Wiley,10981136,39928347,"Aksu, Metin; Kaschke, Kevin; Podojil, Joseph R; Chiang, MingYi; Steckler, Ian; Bruce, Kody; Cogswell, Andrew C; Schulz, Gwen; Kelly, Jeffery W; Wiseman, R Luke; Miller, Stephen D; Popko, Brian; Chen, Yanan",True,False,5450.0,0.0,5450.0,3450.0,2450.0,0.0,5450.0
2025,Mol Oncol,Wiley,18780261,39985777,"Sharifi, Marina N; Feng, Eric; Rydzewski, Nicholas R; Taylor, Amy K; Sperger, Jamie M; Shi, Yue; Helzer, Kyle T; Bootsma, Matthew L; Carreno, Viridiana; Chang, Alex H; Nunamaker, Luke A; Blitzer, Grace C; Shang, Tianfu Andy; Subramanian, Aishwarya; Bjartell, Anders; Josefsson, Andreas; Wikström, Pernilla; Feng, Emily; Kohli, Manish; Yang, Rendong; Dehm, Scott M; Small, Eric J; Aggarwal, Rahul; Quigley, David A; Lang, Joshua M; Zhao, Shuang G; Sjöström, Martin",True,False,4300.0,0.0,4300.0,2300.0,1300.0,0.0,4300.0
2025,AIDS Behav,Springer Nature,15733254,39998791,"Hitch, Anthony E; Sietins, Emils; Mustanski, Brian; Newcomb, Michael E",True,False,4590.0,0.0,4590.0,2590.0,1590.0,0.0,4590.0
2025,Genet Epidemiol,Wiley,10982272,40007508,"Hu, Yue; Che, Menglu; Zhang, Heping",True,False,4150.0,0.0,4150.0,2150.0,1150.0,0.0,4150.0
2025,Synapse,Unknown,10982396,40013455,"Yun, Seongsik; Parker, Jones G",True,False,,0.0,,,,,
2025,NMR Biomed,Wiley,10991492,40017343,"Barrick, Thomas R; Ingo, Carson; Hall, Matt G; Howe, Franklyn A",True,False,3640.0,0.0,3640.0,1640.0,640.0,0.0,3640.0
2025,FASEB J,Wiley,15306860,40022605,"Telenson, Alexander M; Hsieh, Ryan R; Cowen, Gabrielle J; Sode, Eoin P; Kwon, Jason M; Vo, Andy H; Hadhazy, Michele; Page, Patrick G; Rao, Nalini R; Pesce, Lorenzo; Demonbreun, Alexis R; Puckelwartz, Megan J; Savas, Jeffrey N; McNally, Elizabeth M",True,False,3740.0,0.0,3740.0,1740.0,740.0,0.0,3740.0
2025,J Am Geriatr Soc,Wiley,15325415,39584362,"Singh, Namrata; Faye, Adam S; Abidi, Maheen Z; Grant, Shakira J; DuMontier, Clark; Iyer, Anand S; Jain, Nelia; Kochar, Bharati; Lieber, Sarah B; Litke, Rachel; Loewenthal, Julia V; Masters, Mary Clare; Nanna, Michael G; Robison, Raele Donetha; Sattui, Sebastian E; Sheshadri, Anoop; Shi, Sandra M; Sherman, Andrea N; Walston, Jeremy D; Wysham, Katherine D; Orkaby, Ariela R",True,False,4760.0,0.0,4760.0,2760.0,1760.0,0.0,4760.0
2025,Alzheimers Dement,Wiley,15525279,39588869,"Rogalski, Emily; Bona, Matthew; Esparza, Marissa; Mooney, Aimee; Fried-Oken, Melanie; Rademaker, Alfred; Roberts, Angela",True,False,4200.0,0.0,4200.0,2200.0,1200.0,0.0,4200.0
